,Speciality,Code,Title,Anes,Asst,Fee
31,cardiovascular-surgical-procedures/arteries,R802,Abdominal aorta - repair or excision with graft - aneurysm repair alone or including unilateral common femoral repair,17,10,"$1,585.50"
32,cardiovascular-surgical-procedures/arteries,R817,Abdominal aorta - repair or excision with graft - aneurysm repair and bilateral common femoral repair,17,10,"$2,327.50"
33,cardiovascular-surgical-procedures/arteries,R877,Abdominal aorta - repair or excision with graft - aneurysm with repair of iliac artery aneurysm (unilateral or bilateral),17,10,"$2,116.90"
34,cardiovascular-surgical-procedures/arteries,R881,Abdominal surgical exposure - infraceliac aortic cross clamp,17,,
35,cardiovascular-surgical-procedures/arteries,R880,Abdominal surgical exposure - supraceliac aortic cross clamp,20,,
36,cardiovascular-surgical-procedures/arteries,R864,and reimplantation of coronary arteries (Modified Bentall),10,10,$893.20
37,cardiovascular-surgical-procedures/arteries,R830,Aortic arch reconstruction - innominate,10,10,$910.70
38,cardiovascular-surgical-procedures/arteries,R831,Aortic arch reconstruction - subclavian,10,10,$910.70
39,cardiovascular-surgical-procedures/arteries,R832,Aortic arch reconstruction - vertebral,10,10,$867.35
40,cardiovascular-surgical-procedures/arteries,R814,Aorto-Iliac repair - embolectomy or thrombectomy of bifurcation (aorta or graft),10,10,$461.50
41,cardiovascular-surgical-procedures/arteries,R783,Aorto-Iliac repair - including common iliac repair (uni-or bilateral),17,10,"$2,002.00"
42,cardiovascular-surgical-procedures/arteries,R859,Aorto-Iliac repair - Partial removal of infected aortic graft (one limb only)*,10,10,$344.00
43,cardiovascular-surgical-procedures/arteries,R785,Aorto-Iliac repair - plus bilateral common femoral repair,17,10,"$2,327.50"
44,cardiovascular-surgical-procedures/arteries,R784,Aorto-Iliac repair - plus unilateral common femoral repair,17,10,"$2,102.00"
45,cardiovascular-surgical-procedures/arteries,R805,Aorto-Iliac repair - Renal artery - aneurysm reconstruction or excision with graft,10,10,$867.35
46,cardiovascular-surgical-procedures/arteries,R858,Aorto-Iliac repair - Total removal of infected aortic graft (stem and limbs)*,17,10,$918.35
47,cardiovascular-surgical-procedures/arteries,R815,"Arterioplasty with or without patch graft including microvascular anastomosis, arterial or venous (other than listed below)",10,10,$581.85
48,cardiovascular-surgical-procedures/arteries,R798,Carotid - aneurysm reconstruction or excision with graft,10,10,$820.70
49,cardiovascular-surgical-procedures/arteries,R796,Carotid - carotid body tumour,10,10,$769.85
50,cardiovascular-surgical-procedures/arteries,R792,"Carotid - endarterectomy, with or without bypass graft",10,10,$841.00
51,cardiovascular-surgical-procedures/arteries,R813,Embolectomy - artery or graft - as sole procedure,10,7,$490.00
52,cardiovascular-surgical-procedures/arteries,R809,Femoral-popliteal endarterectomy,10,10,$759.60
53,cardiovascular-surgical-procedures/arteries,R780,Femoro-anterior/posterial tibial/peroneal bypass graft - with prosthetic graft,10,10,$878.00
54,cardiovascular-surgical-procedures/arteries,R787,Femoro-anterior/posterial tibial/peroneal bypass graft - with saphenous vein,10,10,"$1,265.00"
55,cardiovascular-surgical-procedures/arteries,R794,Femoro-popliteal - with prosthetic graft,10,10,$733.15
56,cardiovascular-surgical-procedures/arteries,R791,Femoro-popliteal - with saphenous vein,10,10,"$1,077.25"
57,cardiovascular-surgical-procedures/arteries,R866,Gastric devascularization as - sole procedure,10,10,$549.65
58,cardiovascular-surgical-procedures/arteries,R786,Iliac repair to include internal iliac aneurysm,10,10,$805.65
59,cardiovascular-surgical-procedures/arteries,R937,Ilio-femoral bypass graft,10,10,$805.65
60,cardiovascular-surgical-procedures/arteries,R797,In-situ saphenous vein arterial bypass - popliteal,17,10,"$1,414.15"
61,cardiovascular-surgical-procedures/arteries,R804,In-situ saphenous vein arterial bypass - tibial,17,10,"$1,643.00"
62,cardiovascular-surgical-procedures/arteries,R766,In-situ saphenous vein arterial bypass - Two Vascular Surgeons - tibial - first surgeon,17,10,"$1,303.00"
63,cardiovascular-surgical-procedures/arteries,R767,In-situ saphenous vein arterial bypass - Two Vascular Surgeons - tibial - Second surgeon,0,,"$1,303.00"
64,cardiovascular-surgical-procedures/arteries,R811,Mesenteric or celiac artery repair - aneurysm,10,10,$410.85
65,cardiovascular-surgical-procedures/arteries,R936,Mesenteric or celiac artery repair - endarterectomy or graft,10,10,$954.10
66,cardiovascular-surgical-procedures/arteries,R935,Mesenteric or celiac artery repair - removal of band only,10,10,$410.85
67,cardiovascular-surgical-procedures/arteries,R861,Per-obturator ilio-femoral graft - with prosthetic graft,10,10,$876.85
68,cardiovascular-surgical-procedures/arteries,R860,Per-obturator ilio-femoral graft - with saphenous vein,10,10,$898.55
69,cardiovascular-surgical-procedures/arteries,R812,Peripheral arteries other than listed - aneurysm,10,7,$410.45
70,cardiovascular-surgical-procedures/arteries,R810,Popliteal aneurysm,10,7,$805.65
71,cardiovascular-surgical-procedures/arteries,R934,Profundoplasty - Aortofemoral unilateral graft (for bilateral see R785),17,10,$867.35
72,cardiovascular-surgical-procedures/arteries,R932,Profundoplasty - Axillo-bilfemoral graft,10,10,"$1,200.00"
73,cardiovascular-surgical-procedures/arteries,R933,"Profundoplasty - Axillofemoral, femorofemoral or axilloaxillary graft",10,10,$656.55
74,cardiovascular-surgical-procedures/arteries,R855,Profundoplasty - Common femoral/profunda femoris repair - as sole procedure,10,10,$559.20
75,cardiovascular-surgical-procedures/arteries,R856,Profundoplasty - Extended profundoplasty,10,10,$818.80
76,cardiovascular-surgical-procedures/arteries,R808,Profundoplasty - Femoral aneurysm - reconstruction or excision with graft,10,10,$600.30
77,cardiovascular-surgical-procedures/arteries,R873,Profundoplasty - Thrombin injection of femoral artery pseudoaneurysm,6,,$68.20
78,cardiovascular-surgical-procedures/arteries,R940,Pulmonary thromboendarterectomy (PTE) - includes circulatory arrest with hypothermia,28,18,"$2,021.05"
79,cardiovascular-surgical-procedures/arteries,R806,Renal artery repair,10,10,$867.35
80,cardiovascular-surgical-procedures/arteries,R807,Splenic artery aneurysm reconstruction or excision with graft,10,10,$411.05
81,cardiovascular-surgical-procedures/arteries,R878,Subintimal dissection for recanalization of femoral/popiteal/ tibial arterial occlusive disease,10,10,$759.60
82,cardiovascular-surgical-procedures/arteries,R879,Subintimal dissection for recanalization of iliac/aorta arterial occlusive disease,10,10,$759.60
83,cardiovascular-surgical-procedures/arteries,R801,Thoracic aorta aneurysm - descending with or without temporary shunt,20,10,"$1,260.30"
84,cardiovascular-surgical-procedures/arteries,R800,Thoracic aorta aneurysm - repair or excision with graft - arch,20,18,"$1,840.35"
85,cardiovascular-surgical-procedures/arteries,R799,Thoracic aorta aneurysm - repair or excision with graft - ascending,20,18,"$1,473.15"
86,cardiovascular-surgical-procedures/arteries,R803,Thoracic aorta aneurysm - Thoracoabdominal aneurysm,30,18,"$2,859.30"
87,cardiovascular-surgical-procedures/arteries,R882,Thoracic surgical exposure,25,,
88,cardiovascular-surgical-procedures/arteries,R883,Thoraco-abdominal surgical exposure,30,,
89,cardiovascular-surgical-procedures/arteries,R867,Thrombectomy artery - or graft as - sole procedure,10,7,$490.00
90,cardiovascular-surgical-procedures/arteries,Z402,Arteriotomy,6,,$117.30
91,cardiovascular-surgical-procedures/arteries,R708,Internal iliac artery (unilateral or bilateral),10,7,$409.55
92,cardiovascular-surgical-procedures/arteries,R781,Ligation of artery as sole procedure,8,6,$170.10
93,cardiovascular-surgical-procedures/arteries,R778,Cannulation for infusion chemotherapy - carotid artery,6,6,$148.50
94,cardiovascular-surgical-procedures/arteries,R776,Cannulation for infusion chemotherapy - hepatic artery,7,6,$263.05
95,cardiovascular-surgical-procedures/arteries,R775,Cannulation for infusion chemotherapy - superficial temporal artery,6,6,$95.80
96,cardiovascular-surgical-procedures/arteries,R875,Endovascular aneurysm repair using stent grafting,0,,"$1,396.90"
97,cardiovascular-surgical-procedures/arteries,R764,Exploration of major artery,10,6,$271.60
98,cardiovascular-surgical-procedures/arteries,R760,Regional isolation perfusion e.g. iliac,10,10,$410.45
99,cardiovascular-surgical-procedures/arteries,R795,Traumatic - Repair of lacerated major artery or microscopic repair of digital artery (including patch angioplasty),10,10,$598.40
100,cardiovascular-surgical-procedures/arteries,R862,Traumatic - Repair of lacerated major artery or microscopic repair of digital artery (including patch angioplasty) - by bypass or interposition graft,10,10,$834.30
101,cardiovascular-surgical-procedures/arteries,R790,Traumatic - Suture of lacerated major artery,10,6,$316.85
102,cardiovascular-surgical-procedures/heart-and-pericardium,G571,Professional component,0,,0
103,cardiovascular-surgical-procedures/heart-and-pericardium,G570,Technical component,0,,$118.95
104,cardiovascular-surgical-procedures/heart-and-pericardium,G593,COVID-19 vaccine,0,,$13.00
105,cardiovascular-surgical-procedures/heart-and-pericardium,R740,"Left atrial appendage occlusion/excision by suture of device, sole procedure",7,6,$400.00
106,cardiovascular-surgical-procedures/heart-and-pericardium,R752,Atrioventricular sequential pacemaker with permanent atrial and ventricular endocardial electrodes,6,6,$454.55
107,cardiovascular-surgical-procedures/heart-and-pericardium,R765,Cardiac massage - open,13,13,$231.30
108,cardiovascular-surgical-procedures/heart-and-pericardium,R874,Cardiopulmonary transplantation,28,18,"$2,565.30"
109,cardiovascular-surgical-procedures/heart-and-pericardium,R711,"Cardiotomy - Division of accessory conduction pathway (to include cardiotomy, mapping with or without HIS bundle)",20,,$741.55
110,cardiovascular-surgical-procedures/heart-and-pericardium,R709,Cardiotomy - Left atrial ablative procedure for surgical treatment of atrial arrhythmia (either CoxMaze procedure or performed using an energy source),20,18,$778.65
111,cardiovascular-surgical-procedures/heart-and-pericardium,R710,"Cardiotomy - Resection/ablation for ventricular tachycardia (to include cardiotomy, mapping with or without HIS bundle)",20,,"$1,112.15"
112,cardiovascular-surgical-procedures/heart-and-pericardium,R706,Cardiotomy - Right and left atrial ablative procedure for treatment of atrial arrhythmia surgical procedure or performed with an energy source,20,18,"$1,245.85"
113,cardiovascular-surgical-procedures/heart-and-pericardium,R712,Cardiotomy - with exploration,20,18,$525.75
114,cardiovascular-surgical-procedures/heart-and-pericardium,R713,Cardiotomy - with removal of foreign body,20,18,$635.45
115,cardiovascular-surgical-procedures/heart-and-pericardium,R714,Cardiotomy - with removal of tumour,20,18,$525.75
116,cardiovascular-surgical-procedures/heart-and-pericardium,Z743,Circulatory assist device e.g. intra-aortic balloon - open,7,,$307.80
117,cardiovascular-surgical-procedures/heart-and-pericardium,Z780,Circulatory assist device e.g. intra-aortic balloon - percutaneous,7,,$219.80
118,cardiovascular-surgical-procedures/heart-and-pericardium,R718,Closure of atrial septal defect - Closure of ventricular septal defect,28,18,$948.75
119,cardiovascular-surgical-procedures/heart-and-pericardium,R716,Closure of atrial septal defect - endocardial cushion and valve defect,20,18,"$1,124.70"
120,cardiovascular-surgical-procedures/heart-and-pericardium,R715,Closure of atrial septal defect - secundum,20,18,$755.80
121,cardiovascular-surgical-procedures/heart-and-pericardium,R717,Closure of atrial septal defect - with anamalous pulmonary venous drainage,28,18,$948.75
122,cardiovascular-surgical-procedures/heart-and-pericardium,R759,"Congenital heart procedures e. g. Blalock, Glenn, Potts, Waterston or Central",20,13,$774.35
123,cardiovascular-surgical-procedures/heart-and-pericardium,R742,Coronary artery repair - one,20,18,$895.55
124,cardiovascular-surgical-procedures/heart-and-pericardium,R743,Coronary artery repair - two,20,18,"$1,278.10"
125,cardiovascular-surgical-procedures/heart-and-pericardium,R763,Creation of ASD - by balloon septostomy,9,9,$317.85
126,cardiovascular-surgical-procedures/heart-and-pericardium,R762,Creation of ASD - by thoracotomy or Sterling Edwards,20,18,$755.80
127,cardiovascular-surgical-procedures/heart-and-pericardium,Z744,Decannulation of circulatory assist device - open,6,,$123.05
128,cardiovascular-surgical-procedures/heart-and-pericardium,Z781,Decannulation of circulatory assist device - percutaneous,0,,$39.00
129,cardiovascular-surgical-procedures/heart-and-pericardium,R872,Donor cardiectomy,8,7,$481.40
130,cardiovascular-surgical-procedures/heart-and-pericardium,R747,Excision - Aneurysm of sinus of Valsalva,28,18,$783.55
131,cardiovascular-surgical-procedures/heart-and-pericardium,R741,Excision - Coronary artery endarterectomy and/or gas endarterectomy,20,18,$730.70
132,cardiovascular-surgical-procedures/heart-and-pericardium,R746,Excision - Ventricular tumour,28,18,$864.50
133,cardiovascular-surgical-procedures/heart-and-pericardium,R920,Excision - Ventricular tumour,28,18,$712.15
134,cardiovascular-surgical-procedures/heart-and-pericardium,Z436,Exposure of vein and implantation of pack,6,,$166.55
135,cardiovascular-surgical-procedures/heart-and-pericardium,Z788,"Extracorporeal Membrane Oxygenator (ECMO) - includes cannulating and decannulating, by any method, heart, vein and/or artery and repair of vessels if rendered",6,,$366.50
136,cardiovascular-surgical-procedures/heart-and-pericardium,R753,Implantation of cardioverter (CD) defibrillator - by thoracotomy,20,6,$720.30
137,cardiovascular-surgical-procedures/heart-and-pericardium,R761,Implantation of cardioverter (CD) defibrillator - by transvenous approach,8,6,$587.35
138,cardiovascular-surgical-procedures/heart-and-pericardium,Z429,Implantation of coronary sinus lead for biventricular pacing,8,6,$299.25
139,cardiovascular-surgical-procedures/heart-and-pericardium,R751,Implantation of epicardial electrode(s) plus implantation of pack,20,6,$465.00
140,cardiovascular-surgical-procedures/heart-and-pericardium,Z444,"Insertion of permanent endocardial electrode and implantation of pack, includes insertion of temporary transvenous lead at same surgical procedure by same surgeon",6,6,$323.75
141,cardiovascular-surgical-procedures/heart-and-pericardium,Z435,Insertion of permanent endocardial electrode(s),0,,$154.10
142,cardiovascular-surgical-procedures/heart-and-pericardium,R857,Interruption of bronchial collateral arteries (one or more arteries) - as sole procedure,20,13,$730.70
143,cardiovascular-surgical-procedures/heart-and-pericardium,R755,Ligation or division patent ductus - adolescent or adult,20,13,$730.70
144,cardiovascular-surgical-procedures/heart-and-pericardium,R754,Ligation or division patent ductus - infant or child,20,13,$525.75
145,cardiovascular-surgical-procedures/heart-and-pericardium,R870,Orthotopic cardiac transplantation,28,18,"$1,443.05"
146,cardiovascular-surgical-procedures/heart-and-pericardium,Z428,"Pacemaker lead extraction, including the use of extraction sheathes, with or without laser or similar technology",7,10,$598.50
147,cardiovascular-surgical-procedures/heart-and-pericardium,Z465,Percutaneous transluminal catheter assisted closure for Secundum arterial septal defect - device closure of a single defect,0,,$198.55
148,cardiovascular-surgical-procedures/heart-and-pericardium,Z466,Percutaneous transluminal catheter assisted closure for Secundum arterial septal defect - device closure of two or more defects,0,,$347.45
149,cardiovascular-surgical-procedures/heart-and-pericardium,R749,Pericardiectomy - both sides open or sternal split,20,13,"$1,001.40"
150,cardiovascular-surgical-procedures/heart-and-pericardium,R748,Pericardiectomy - one side open,20,13,$635.45
151,cardiovascular-surgical-procedures/heart-and-pericardium,Z415,Removal and/or replacement of implantable cardioverter defibrillator,7,6,$339.45
152,cardiovascular-surgical-procedures/heart-and-pericardium,Z759,Removal of failed vascular graft without arterial reconstruction when sole procedure,6,,$189.55
153,cardiovascular-surgical-procedures/heart-and-pericardium,Z433,Replacement of pacemaker pack (single or multiple leads),6,,$146.45
154,cardiovascular-surgical-procedures/heart-and-pericardium,Z412,Replacement or repair of pacemaker lead,7,6,$110.75
155,cardiovascular-surgical-procedures/heart-and-pericardium,Z751,Repositioning of intra-aortic balloon pump - open,6,,$127.95
156,cardiovascular-surgical-procedures/heart-and-pericardium,Z782,Repositioning of intra-aortic balloon pump - percutaneous,0,,$82.55
157,cardiovascular-surgical-procedures/heart-and-pericardium,Z445,Repositioning of permanent endocardial electrode (as separate procedure),6,,$323.75
158,cardiovascular-surgical-procedures/heart-and-pericardium,R758,Resection coarctation - adolescent or adult,20,13,$984.90
159,cardiovascular-surgical-procedures/heart-and-pericardium,R756,Resection coarctation - child,20,13,$755.80
160,cardiovascular-surgical-procedures/heart-and-pericardium,R757,Resection coarctation - infant,20,13,$785.90
161,cardiovascular-surgical-procedures/heart-and-pericardium,Z401,Thoracotomy - Aspiration of pericardium,0,,$131.70
162,cardiovascular-surgical-procedures/heart-and-pericardium,Z414,Thoracotomy - Injection of pericardial sclerosing agents,0,,$23.10
163,cardiovascular-surgical-procedures/heart-and-pericardium,R750,Thoracotomy - Open biopsy of pericardium and drainage (transthoracic or epigastric),13,13,$317.85
164,cardiovascular-surgical-procedures/heart-and-pericardium,R702,Ventricular assist devices - bi-ventricular,28,18,"$1,334.80"
165,cardiovascular-surgical-procedures/heart-and-pericardium,R704,Ventricular assist devices - implantable,28,18,"$2,163.35"
166,cardiovascular-surgical-procedures/heart-and-pericardium,R703,Ventricular assist devices - paracorporeal,28,18,"$1,443.05"
167,cardiovascular-surgical-procedures/heart-and-pericardium,R705,Ventricular assist devices - removal of ventricular assist device,20,18,$508.55
168,cardiovascular-surgical-procedures/heart-and-pericardium,R701,Ventricular assist devices - uni-ventricular,28,18,$721.60
169,cardiovascular-surgical-procedures/heart-and-pericardium,R700,With hypothermia and without bypass basic fee for cardiovascular procedures,25,,
170,cardiovascular-surgical-procedures/heart-and-pericardium,R927,Aorto-pulmonary window,28,18,$960.40
171,cardiovascular-surgical-procedures/heart-and-pericardium,R721,Arterial repair of transposition,28,18,"$1,739.20"
172,cardiovascular-surgical-procedures/heart-and-pericardium,R921,Complete A-V canal,28,18,"$1,480.40"
173,cardiovascular-surgical-procedures/heart-and-pericardium,R770,Correction of cor triatriatum,20,18,$885.60
174,cardiovascular-surgical-procedures/heart-and-pericardium,R929,Debanding arterioplasty of pulmonary artery,28,18,$943.45
175,cardiovascular-surgical-procedures/heart-and-pericardium,R924,Double outlet ventricle with transposition,28,18,"$1,728.90"
176,cardiovascular-surgical-procedures/heart-and-pericardium,R923,Double outlet-right/left ventricle,28,18,"$1,516.70"
177,cardiovascular-surgical-procedures/heart-and-pericardium,R926,Interrupted aortic arch,28,18,"$1,516.70"
178,cardiovascular-surgical-procedures/heart-and-pericardium,R768,Pulmonary artery banding,20,13,$628.95
179,cardiovascular-surgical-procedures/heart-and-pericardium,R769,"Pulmonary artery banding - with pressure studies by anaesthetist, extra/hour",6,,
180,cardiovascular-surgical-procedures/heart-and-pericardium,R928,R-V outflow tract with valve and tubular graft,28,18,"$1,064.55"
181,cardiovascular-surgical-procedures/heart-and-pericardium,R922,Single ventricle,28,18,"$1,687.50"
182,cardiovascular-surgical-procedures/heart-and-pericardium,R722,Total anomalous pulmonary venous drainage,28,18,"$1,152.30"
183,cardiovascular-surgical-procedures/heart-and-pericardium,R723,Total correction transposition of great vessels,28,18,"$1,152.30"
184,cardiovascular-surgical-procedures/heart-and-pericardium,R720,Total repair Tetralogy of Fallot with or without previous arterial shunt,28,18,"$1,285.00"
185,cardiovascular-surgical-procedures/heart-and-pericardium,R925,Truncus arteriosus,28,18,"$1,718.55"
186,cardiovascular-surgical-procedures/heart-and-pericardium,R771,Vascular ring,20,18,$755.80
187,cardiovascular-surgical-procedures/valves,G571,Professional component,0,,0
188,cardiovascular-surgical-procedures/valves,G570,Technical component,0,,$118.95
189,cardiovascular-surgical-procedures/valves,G593,COVID-19 vaccine,0,,$13.00
190,cardiovascular-surgical-procedures/valves,R737,Aortic infundibular resection (ventriculomyotomy),28,18,$869.70
191,cardiovascular-surgical-procedures/valves,R738,Aortic valve replacement,28,18,"$1,049.20"
192,cardiovascular-surgical-procedures/valves,R736,Aortic valvotomy,20,18,$707.85
193,cardiovascular-surgical-procedures/valves,R734,Mitral annuloplasty,20,18,$789.60
194,cardiovascular-surgical-procedures/valves,R735,Mitral replacement,28,18,"$1,200.00"
195,cardiovascular-surgical-procedures/valves,R930,Mitral valve reconstruction - Aortic valvoloplasty,28,18,$837.70
196,cardiovascular-surgical-procedures/valves,R774,Mitral valve reconstruction - complex (includes annuloplasty and repair of both the anterior and posterior leaflets),28,18,"$2,058.20"
197,cardiovascular-surgical-procedures/valves,R773,Mitral valve reconstruction - simple (includes annuloplasty),28,18,"$1,648.25"
198,cardiovascular-surgical-procedures/valves,R733,Mitral valvoplasty,28,18,$963.40
199,cardiovascular-surgical-procedures/valves,R729,Mitral valvotomy,20,18,$717.25
200,cardiovascular-surgical-procedures/valves,R730,Mitral valvotomy restenosis,20,18,$798.80
201,cardiovascular-surgical-procedures/valves,R772,Pulmonary valve replacement,28,18,$758.80
202,cardiovascular-surgical-procedures/valves,R724,Pulmonary valvotomy,28,18,$663.10
203,cardiovascular-surgical-procedures/valves,R725,Pulmonary valvotomy and infundibular resection,28,18,$758.80
204,cardiovascular-surgical-procedures/valves,R863,"Replacement of aortic valve, replacement of ascending aorta,",28,18,"$2,070.60"
205,cardiovascular-surgical-procedures/valves,R727,Tricuspid annuloplasty,20,18,$678.80
206,cardiovascular-surgical-procedures/valves,R728,Tricuspid valve replacement,28,18,$777.40
207,cardiovascular-surgical-procedures/valves,R726,Tricuspid valvotomy,20,18,$778.25
208,cardiovascular-surgical-procedures/valves,R731,Tricuspid valvuloplasty,28,18,$770.55
209,cardiovascular-surgical-procedures/valves,R876,Valve sparing aortic root replacement or remodelling,0,,"$2,144.95"
210,cardiovascular-surgical-procedures/veins,R833,Ligation or removal of by-pass graft,6,,6
211,cardiovascular-surgical-procedures/veins,R824,Meso-caval,10,10,$866.55
212,cardiovascular-surgical-procedures/veins,R841,Obliteration of A.V. fistula,7,,$82.55
213,cardiovascular-surgical-procedures/veins,R822,Porto-caval,10,10,$919.10
214,cardiovascular-surgical-procedures/veins,R823,Spleno-renal - abdominal approach,10,10,"$1,117.90"
215,cardiovascular-surgical-procedures/veins,R821,Spleno-renal - transthoracic approach,13,10,"$1,117.90"
216,cardiovascular-surgical-procedures/veins,G571,Professional component,0,,$96.20
217,cardiovascular-surgical-procedures/veins,G570,Technical component,0,,$118.95
218,cardiovascular-surgical-procedures/veins,G593,COVID-19 vaccine,0,,$13.00
219,cardiovascular-surgical-procedures/veins,R825,Resection of AV aneurysm or fistula with or without major graft - major aneurysm,17,10,$975.50
220,cardiovascular-surgical-procedures/veins,R826,Resection of AV aneurysm or fistula with or without major graft - minor aneurysm,10,10,$497.25
221,cardiovascular-surgical-procedures/veins,R842,Extra fascial and sub-fascial incompetent perforators by full fascial technique,7,6,$384.75
222,cardiovascular-surgical-procedures/veins,Z746,Femoral,7,6,$74.25
223,cardiovascular-surgical-procedures/veins,R868,High ligation and stripping of long saphenous vein with groin dissection,7,6,$200.00
224,cardiovascular-surgical-procedures/veins,R834,I.V.C. - transabdominal,10,6,$446.50
225,cardiovascular-surgical-procedures/veins,R838,I.V.C. - transvenous (umbrella),10,6,$303.00
226,cardiovascular-surgical-procedures/veins,R839,Internal iliac,10,6,$394.85
227,cardiovascular-surgical-procedures/veins,Z748,Internal jugular,7,6,$148.60
228,cardiovascular-surgical-procedures/veins,R837,Multiple ligation and avulsion,7,6,$200.00
229,cardiovascular-surgical-procedures/veins,Z747,Popliteal,7,6,$74.25
230,cardiovascular-surgical-procedures/veins,R844,Recurrent varicose veins multiple ligation and/or stripping,7,6,$353.80
231,cardiovascular-surgical-procedures/veins,Z745,Saphenous,6,,$53.20
232,cardiovascular-surgical-procedures/veins,R869,Stripping of short saphenous vein with popliteal dissection,7,6,$107.50
233,cardiovascular-surgical-procedures/veins,R865,Distal spleno-renal shunt,10,10,"$1,259.55"
234,cardiovascular-surgical-procedures/veins,R828,Ilio-femoral thrombectomy with or without femoral vein ligation,10,10,$446.50
235,cardiovascular-surgical-procedures/veins,R820,"Lacerated major vein e.g. femoral, popliteal, vena cava, axillary, subclavian, brachial or microscopic repair of digital vein",7,6,$396.95
236,cardiovascular-surgical-procedures/veins,R819,"Lacerated major vein e.g. femoral, popliteal, vena cava, axillary, subclavian, brachial or microscopic repair of digital vein - by vein graft",10,10,$793.55
237,cardiovascular-surgical-procedures/veins,R818,"Lacerated major vein e.g. femoral, popliteal, vena cava, axillary, subclavian, brachial or microscopic repair of digital vein - including patch",10,10,$596.70
238,cardiovascular-surgical-procedures/veins,R836,Pulmonary embolectomy,20,18,$866.55
239,cardiovascular-surgical-procedures/veins,R835,S.V.C. bypass graft,17,7,$758.40
240,cardiovascular-surgical-procedures/veins,R829,"Thrombectomy, other than above",10,7,$302.80
241,clinical-procedures-associated-with-diagnostic-radiological-examinations/angiography,J021,"By catheterization - abdominal, thoracic, cervical or cranial - insertion of catheter (including cut down, if necessary) and injection, if given",6,,6
242,clinical-procedures-associated-with-diagnostic-radiological-examinations/angiography,J056,"By catheterization - abdominal, thoracic, cervical or cranial - selective catheterization - transcatheter fibrinolytic therapy",7,,$670.55
243,clinical-procedures-associated-with-diagnostic-radiological-examinations/angiography,J031,Carotid angiogram - direct puncture,6,,$89.90
